ID,Task,Extraversion,Extravert,AllConn_CEN,AllConn_DMN,AllConn_SN,Intra_CEN,Intra_DMN,Intra_SN,Extra_CEN,Extra_DMN,Extra_SN,CEN_SN,SN_DMN,DMN_CEN,Intra_CEN_z,Intra_DMN_z,Intra_SN_z,Extra_CEN_z,Extra_DMN_z,Extra_SN_z,CEN_SN_z,SN_DMN_z,DMN_CEN_z
sub-2000,BreathNVHA,25,1,26,24,21,36,45,105,26,24,21,52,10,26,1.6029,1.646,1.5641,1.5037,1.5158,1.6728,1.5281,1.4994,1.5375
sub-2000,BreathNVHA,25,1,24,25,24,27,45,123,24,25,24,47,9,20,1.6496,1.7352,1.7132,1.5509,1.5952,1.8578,1.6272,1.5689,1.651
sub-2000,BreathNVHA,25,1,33,25,35,17,52,48,33,25,35,23,11,34,1.7436,1.8346,1.5903,1.7795,1.6101,1.57,1.683,1.697,1.5944
sub-2000,BreathNVHA,25,1,19,23,24,31,39,141,19,23,24,52,7,22,1.6939,1.7081,1.7623,1.5778,1.5978,1.8833,1.6628,1.5464,1.646
sub-2000,BreathNVHA,25,1,36,26,31,22,51,72,36,26,31,43,11,34,1.7063,1.8451,1.5837,1.6658,1.6215,1.5056,1.5796,1.7044,1.6522
sub-2000,BreathNVHA,25,1,28,29,32,25,51,107,28,29,32,58,11,27,1.5621,1.6364,1.5478,1.5825,1.4833,1.448,1.4929,1.506,1.5605
sub-2000,BreathNVHA,25,1,29,32,30,18,56,102,29,32,30,46,16,35,1.5883,1.7187,1.4788,1.454,1.4376,1.391,1.473,1.5603,1.5223
sub-2000,BreathNVHA,25,1,20,26,46,14,49,132,20,26,46,65,13,26,1.8666,1.961,1.8954,1.8944,1.8058,1.7543,1.8182,1.7988,1.8818
sub-2000,BreathNVHA,25,1,37,29,38,30,50,56,37,29,38,41,10,36,1.8514,1.9811,1.7071,1.8749,1.7699,1.6678,1.7532,1.8201,1.7948
sub-2000,BreathNVHA,25,1,36,32,32,32,54,82,36,32,32,43,11,39,1.6856,1.9448,1.6844,1.7366,1.6574,1.5919,1.6846,1.7169,1.7411
sub-2000,BreathNVHA,25,1,38,32,27,35,51,48,38,32,27,43,11,36,1.7403,1.8786,1.6646,1.7788,1.6836,1.6145,1.6428,1.7702,1.7006
sub-2000,BreathNVHA,25,1,35,32,26,27,52,68,35,32,26,48,10,32,1.8271,1.9088,1.7105,1.8488,1.7275,1.6743,1.6865,1.7954,1.8052
